wbe;jahr;anzahl_v
173;2013;1064
173;2014;1039
173;2015;1000
174;2000;2960
174;2001;2985
174;2002;3028
174;2003;3055
174;2004;3038
174;2005;2998
174;2006;2925
174;2007;2880
174;2008;2859
174;2009;2815
174;2010;2833
174;2011;2816
174;2012;2729
174;2013;2748
174;2014;2721
174;2015;2643
180;2000;3160
180;2001;3114
180;2002;3091
180;2003;3092
180;2004;3088
180;2005;3094
180;2006;3104
180;2007;2984
180;2008;2977
180;2009;2954
180;2010;2856
180;2011;2860
180;2012;2862
180;2013;2810
180;2014;2829
180;2015;2746
190;2003;1125
190;2004;1086
190;2000;1088
190;2001;1113
190;2002;1139
190;2005;1125
190;2006;1093
190;2007;1066
190;2008;1086
190;2009;1107
190;2010;1123
190;2011;1177
190;2012;1240
190;2013;1214
190;2014;1225
190;2015;1213
201;2000;1511
201;2001;1563
201;2002;1550
201;2003;1525
201;2004;1512
201;2005;1467
201;2006;1451
201;2007;1479
201;2008;1481
201;2009;1485
201;2010;1463
201;2011;1459
201;2012;1478
201;2013;1458
201;2014;1445
201;2015;1420
202;2000;1105
202;2001;1132
202;2002;1134
202;2003;1132
202;2004;1133
202;2005;1136
202;2006;1122
202;2007;1111
202;2008;1062
202;2009;1074
202;2010;1049
202;2011;1032
202;2012;1029
202;2013;1012
202;2014;1015
202;2015;1016
203;2000;612
203;2001;617
203;2002;615
203;2003;599
203;2004;593
203;2005;584
203;2006;604
203;2007;613
203;2008;615
203;2009;619
203;2010;632
203;2011;622
203;2012;654
203;2013;646
203;2014;647
203;2015;630
204;2000;540
204;2001;534
204;2002;543
204;2003;532
204;2004;520
204;2005;504
204;2006;500
204;2007;513
204;2008;504
204;2009;502
204;2010;491
204;2011;497
204;2012;496
204;2013;499
204;2014;496
204;2015;479
205;2000;1179
205;2001;1175
205;2002;1181
205;2003;1152
205;2004;1139
205;2005;1127
205;2006;1133
205;2007;1110
205;2008;1110
205;2009;1107
205;2010;1150
205;2011;1129
205;2012;1124
205;2013;1135
205;2014;1101
205;2015;1091
206;2000;1212
206;2001;1196
206;2002;1204
206;2003;1174
206;2004;1183
206;2005;1142
206;2006;1110
206;2007;1119
206;2008;1128
206;2009;1134
206;2010;1139
206;2011;1147
206;2012;1142
206;2013;1135
206;2014;1163
206;2015;1127
207;2000;3209
207;2001;3188
207;2002;3136
207;2003;3102
207;2004;3087
207;2005;3005
207;2007;2904
207;2008;2872
207;2009;2804
207;2010;2825
207;2011;2784
207;2012;2795
207;2013;2831
207;2014;2818
207;2015;2769
207;2006;2951
208;2000;1058
208;2001;1072
208;2002;1068
208;2003;1079
208;2004;1079
208;2005;1088
208;2006;1065
208;2007;1054
208;2008;1074
208;2009;1057
208;2010;1060
208;2011;1048
208;2012;1068
208;2013;1045
208;2014;1037
208;2015;1051
301;2000;489
301;2001;480
301;2002;491
301;2003;495
301;2004;498
301;2005;483
301;2006;483
301;2007;477
301;2008;470
301;2009;475
301;2010;482
301;2011;484
301;2012;495
301;2013;496
301;2014;509
301;2015;490
302;2004;69
302;2005;71
302;2007;66
302;2008;69
302;2009;71
302;2010;59
302;2012;78
302;2013;73
302;2014;71
302;2015;68
302;2000;70
302;2001;71
302;2002;64
302;2003;73
302;2006;72
302;2011;64
