wbe;jahr;ant_verheiratet
190;2014;42.6
190;2015;41.8
201;2000;46.5
201;2001;46.5
201;2002;45.6
201;2003;44.5
201;2004;44.6
201;2005;44.3
201;2006;43.9
201;2007;44.8
201;2008;44.1
201;2009;44.1
201;2010;43.0
201;2011;42.7
201;2012;43.3
201;2013;43.3
201;2014;43.2
201;2015;42.4
202;2000;49.1
202;2001;49.0
202;2002;49.9
202;2003;49.6
202;2004;50.1
202;2005;49.7
202;2006;48.3
202;2007;48.2
202;2008;47.0
202;2009;46.7
202;2010;45.5
202;2011;44.9
202;2012;45.2
202;2013;44.2
202;2014;43.3
202;2015;43.3
203;2000;49.6
203;2001;51.6
203;2002;53.0
203;2003;51.8
203;2004;50.7
203;2005;50.9
203;2006;50.7
203;2007;50.7
203;2008;51.0
203;2009;51.2
203;2010;50.6
203;2011;49.8
203;2012;50.2
203;2013;49.5
203;2014;50.1
203;2015;48.9
204;2000;52.8
204;2001;51.2
204;2002;52.3
204;2003;51.6
204;2004;51.5
204;2005;52.2
204;2006;52.5
204;2007;52.6
204;2008;52.0
204;2009;51.8
204;2010;49.7
204;2011;49.4
204;2012;49.3
204;2013;49.7
204;2014;49.4
204;2015;49.5
205;2000;57.0
205;2001;56.2
205;2002;55.9
205;2003;55.2
205;2004;55.3
205;2005;54.8
205;2006;54.7
205;2007;54.2
205;2008;54.2
205;2009;53.7
205;2010;53.8
205;2011;53.2
205;2012;53.2
205;2013;53.0
205;2014;52.4
205;2015;52.6
206;2000;52.0
206;2001;51.7
206;2002;51.0
206;2003;50.6
206;2004;50.4
206;2005;49.6
206;2006;48.7
206;2007;49.0
206;2008;48.8
206;2009;48.7
206;2010;48.7
206;2011;48.6
206;2012;48.8
206;2013;47.7
206;2014;48.2
206;2015;47.5
207;2000;51.2
207;2001;50.7
207;2002;50.5
207;2003;49.8
207;2004;49.4
207;2005;48.3
207;2007;46.2
207;2008;46.2
207;2009;45.8
207;2010;45.7
207;2011;45.4
207;2012;45.1
207;2013;44.9
207;2014;44.8
207;2015;44.0
207;2006;47.2
208;2000;50.2
208;2001;50.9
208;2002;50.3
208;2003;50.3
208;2004;50.3
208;2005;50.3
208;2006;49.4
208;2007;49.4
208;2008;48.8
208;2009;48.9
208;2010;49.3
208;2011;48.9
208;2012;49.0
208;2013;48.7
208;2014;48.1
208;2015;48.2
301;2000;52.6
301;2001;52.7
301;2002;53.3
301;2003;53.2
301;2004;52.9
301;2005;52.0
301;2006;51.3
301;2007;51.5
301;2008;50.2
301;2009;50.3
301;2010;51.2
301;2011;50.8
301;2012;51.2
301;2013;51.4
301;2014;51.0
301;2015;50.4
302;2004;26.4
302;2005;26.5
302;2007;26.1
302;2008;28.9
302;2009;28.3
302;2010;26.2
302;2012;33.6
302;2013;32.4
302;2014;29.7
302;2015;29.3
302;2000;27.1
302;2001;28.3
302;2002;25.4
302;2003;26.7
302;2006;27.4
302;2011;27.9
