wbe;jahr;anteil_weiblich
205;2004;51.9
205;2005;52.0
205;2006;51.5
205;2007;51.4
205;2008;51.6
205;2009;52.4
205;2010;51.5
205;2011;51.9
205;2012;51.5
205;2013;51.9
205;2014;51.8
205;2015;51.7
206;2000;52.4
206;2001;52.6
206;2002;52.4
206;2003;53.2
206;2004;52.9
206;2005;52.7
206;2006;53.2
206;2007;52.9
206;2008;52.6
206;2009;52.3
206;2010;52.9
206;2011;53.0
206;2012;53.3
206;2013;53.0
206;2014;53.0
206;2015;53.2
207;2000;52.9
207;2001;52.8
207;2002;52.9
207;2003;53.1
207;2004;53.3
207;2005;53.3
207;2006;53.3
207;2007;53.1
207;2008;53.5
207;2009;53.5
207;2010;53.5
207;2011;53.5
207;2012;53.1
207;2013;53.0
207;2014;53.2
207;2015;53.1
208;2000;52.6
208;2001;53.2
208;2002;52.7
208;2003;52.3
208;2004;52.7
208;2005;52.5
208;2006;52.7
208;2007;52.3
208;2008;53.0
208;2009;53.0
208;2010;52.3
208;2011;52.1
208;2012;51.8
208;2013;52.8
208;2014;52.5
208;2015;51.4
301;2000;50.3
301;2001;50.8
301;2002;51.4
301;2003;51.3
301;2004;50.9
301;2005;51.3
301;2006;50.9
301;2007;50.8
301;2008;50.2
301;2009;50.8
301;2010;50.3
301;2011;51.0
301;2012;50.9
301;2013;50.4
301;2014;49.5
301;2015;49.3
302;2000;59.3
302;2001;60.6
302;2002;64.7
302;2003;63.0
302;2004;61.3
302;2005;60.8
302;2006;58.9
302;2007;60.9
302;2008;59.4
302;2009;60.2
302;2010;58.7
302;2011;56.8
302;2012;56.9
302;2013;58.2
302;2014;59.4
302;2015;56.9
