wbe;jahr;anteil_unter20
132;2005;13.9
132;2006;13.6
132;2007;13.5
132;2008;14.1
132;2009;13.3
132;2010;13.5
132;2011;13.3
132;2012;13.4
132;2013;13.2
132;2014;13.0
132;2015;13.0
141;2000;14.8
141;2001;14.5
141;2002;14.8
141;2003;15.1
141;2004;14.6
141;2005;15.5
141;2006;15.2
141;2007;14.9
141;2008;15.3
141;2009;15.2
141;2010;15.5
141;2011;15.1
141;2012;15.2
141;2013;15.1
141;2014;15.1
141;2015;15.4
142;2000;15.6
142;2001;16.1
142;2002;16.1
142;2003;15.5
142;2004;15.8
142;2005;16.1
142;2006;16.0
142;2007;14.5
142;2008;14.6
142;2009;14.6
142;2010;14.1
142;2011;13.4
142;2012;13.6
142;2013;13.1
142;2014;12.9
142;2015;13.1
151;2000;18.5
151;2001;18.3
151;2002;18.5
151;2003;18.7
151;2004;18.0
151;2005;19.2
151;2006;19.0
151;2007;19.6
151;2008;20.3
151;2009;20.1
151;2010;20.0
151;2011;19.9
151;2012;20.1
151;2013;20.5
151;2014;21.0
151;2015;22.0
152;2000;19.1
152;2001;19.1
152;2002;19.1
152;2003;19.5
152;2004;18.7
152;2005;18.8
152;2006;17.8
152;2007;17.7
152;2008;17.2
152;2009;16.9
152;2010;17.0
152;2011;17.3
152;2012;17.5
152;2013;17.4
152;2014;18.4
152;2015;18.2
153;2000;20.7
153;2001;19.9
153;2002;18.9
153;2003;19.0
153;2004;18.7
153;2005;18.0
153;2006;16.9
153;2007;16.7
153;2008;16.4
153;2009;16.0
153;2010;16.1
153;2011;15.8
153;2012;16.0
153;2013;16.9
153;2014;17.1
153;2015;17.2
161;2000;19.1
161;2001;19.2
161;2002;20.2
161;2003;19.4
161;2004;19.5
161;2005;19.2
161;2006;19.0
161;2007;18.7
161;2008;18.3
161;2009;18.9
161;2010;19.0
161;2011;19.3
161;2012;19.2
161;2013;18.7
161;2014;18.5
161;2015;18.3
162;2000;19.6
162;2001;24.8
162;2002;25.0
162;2003;24.3
162;2004;21.6
162;2005;21.4
162;2006;21.6
162;2007;23.2
162;2008;20.0
162;2009;18.6
162;2010;19.6
162;2011;21.0
162;2012;23.4
162;2013;23.0
162;2014;22.2
162;2015;18.3
171;2000;15.3
171;2001;14.4
171;2002;13.6
171;2003;14.3
171;2004;13.2
171;2005;12.9
171;2006;11.8
171;2007;11.6
171;2008;11.3
171;2009;11.2
171;2010;11.2
171;2011;10.7
171;2012;11.2
171;2013;10.8
171;2014;10.5
171;2015;10.8
172;2000;15.8
172;2001;15.5
172;2002;16.2
172;2003;16.5
172;2004;15.8
172;2005;14.8
172;2006;14.8
172;2007;14.3
172;2008;14.7
172;2009;14.2
172;2010;14.8
172;2011;13.9
172;2012;13.9
172;2013;13.9
172;2014;13.8
172;2015;13.8
173;2000;19.0
173;2001;17.8
173;2002;17.9
173;2003;17.3
173;2004;16.8
173;2005;16.2
173;2006;16.0
173;2007;16.5
173;2008;16.0
173;2009;16.1
173;2010;16.0
173;2011;16.4
173;2012;16.2
173;2013;15.6
173;2014;15.6
173;2015;15.6
174;2000;22.5
174;2001;22.3
174;2002;22.0
174;2003;21.4
174;2004;21.5
174;2005;20.9
174;2006;20.6
174;2007;19.6
174;2008;19.1
174;2009;18.5
174;2010;18.9
174;2011;18.3
174;2012;18.3
174;2013;18.1
174;2014;18.2
174;2015;18.5
180;2000;21.7
180;2001;21.5
180;2002;21.2
180;2003;21.1
180;2004;20.8
180;2005;20.5
180;2006;20.8
180;2007;20.1
180;2008;20.3
180;2009;19.9
180;2010;19.5
180;2011;19.6
180;2012;19.4
180;2013;19.2
180;2014;18.7
180;2015;18.8
190;2000;19.6
190;2001;19.0
190;2002;19.5
190;2003;19.6
190;2004;18.9
190;2005;19.0
190;2006;19.1
190;2007;18.7
190;2008;18.4
190;2009;18.9
190;2010;19.1
190;2011;19.0
190;2012;19.0
190;2013;19.5
190;2014;19.2
190;2015;19.6
201;2000;17.3
201;2001;17.2
201;2002;17.4
201;2003;17.6
201;2004;17.7
201;2005;17.2
201;2006;17.2
201;2007;16.8
201;2008;16.8
201;2009;16.9
201;2010;16.5
201;2011;16.4
201;2012;15.9
201;2013;15.0
201;2014;15.0
201;2015;14.9
202;2000;20.0
202;2001;20.3
202;2002;19.5
202;2003;19.5
202;2004;18.2
202;2005;18.2
202;2006;18.6
202;2007;18.5
202;2008;17.7
202;2009;17.6
202;2010;17.4
202;2011;17.2
202;2012;17.4
202;2013;18.2
202;2014;18.4
202;2015;19.1
203;2000;16.6
203;2001;16.9
203;2002;17.7
203;2003;17.8
203;2004;18.1
203;2005;18.0
203;2006;17.0
203;2007;16.7
203;2008;16.7
203;2009;17.0
203;2010;17.9
203;2011;17.9
203;2012;18.8
203;2013;18.8
203;2014;18.9
203;2015;18.8
204;2000;18.6
204;2001;19.0
204;2002;19.3
204;2003;19.3
204;2004;18.3
204;2005;18.6
204;2006;18.1
204;2007;18.5
204;2008;18.5
204;2009;18.1
204;2010;17.6
204;2011;17.6
204;2012;17.1
204;2013;17.2
204;2014;16.8
204;2015;18.3
205;2000;17.8
205;2001;18.1
205;2002;18.1
205;2003;18.3
205;2004;18.8
205;2005;18.6
205;2006;18.9
205;2007;19.1
205;2008;18.4
205;2009;19.1
205;2010;19.1
205;2011;19.6
205;2012;19.4
205;2013;20.0
205;2014;19.4
205;2015;19.5
206;2000;21.2
206;2001;21.8
206;2002;21.9
206;2003;21.8
206;2004;21.8
206;2005;21.8
206;2006;21.3
206;2007;21.2
206;2008;21.6
206;2009;21.5
206;2010;21.4
206;2011;21.9
206;2012;21.8
206;2013;22.2
206;2014;22.0
206;2015;22.1
207;2000;20.7
207;2001;21.0
207;2002;20.9
207;2003;21.1
207;2004;21.0
207;2005;21.3
207;2006;21.4
207;2007;21.5
207;2008;21.1
207;2009;20.9
207;2010;20.7
207;2011;20.6
207;2012;20.3
207;2013;20.5
207;2014;20.5
207;2015;20.9
208;2000;22.2
208;2001;21.9
208;2002;21.3
208;2003;21.4
208;2004;21.0
208;2005;20.0
208;2006;20.2
208;2007;20.8
208;2008;20.4
208;2009;19.8
208;2010;19.3
208;2011;19.1
208;2012;19.7
208;2013;20.0
208;2014;19.5
208;2015;20.4
301;2000;20.9
301;2001;20.8
301;2002;20.1
301;2003;20.3
301;2004;20.5
301;2005;20.4
301;2006;20.7
301;2007;20.2
301;2008;20.2
301;2009;19.6
301;2010;18.7
301;2011;18.3
301;2012;17.5
301;2013;17.1
301;2014;16.8
301;2015;17.0
302;2000;16.3
302;2001;17.5
302;2002;17.1
302;2003;18.3
302;2004;18.0
302;2005;17.5
302;2006;16.3
302;2007;16.6
302;2008;15.5
302;2009;17.5
302;2010;16.0
302;2011;18.8
302;2012;19.4
302;2013;19.6
302;2014;20.1
302;2015;22.8
