wbe;jahr;anteil_maennlich
121;2015;53.0
122;2000;51.4
122;2001;51.0
122;2002;49.8
122;2003;48.4
122;2004;49.6
122;2005;50.3
122;2006;50.1
122;2007;48.8
122;2008;49.3
122;2009;48.5
122;2010;49.2
122;2011;49.4
122;2012;49.9
122;2013;48.9
122;2014;48.9
122;2015;48.2
131;2000;50.3
131;2001;50.8
131;2002;50.8
131;2003;51.4
131;2004;51.6
131;2005;51.9
131;2006;51.4
131;2007;51.6
131;2008;51.2
131;2009;50.4
131;2010;51.4
131;2011;51.9
131;2012;52.7
131;2013;53.2
131;2014;52.1
131;2015;52.9
132;2000;47.9
132;2001;49.1
132;2002;49.9
132;2003;49.5
132;2004;49.2
132;2005;49.4
132;2006;49.6
132;2007;49.6
132;2008;49.7
132;2009;50.2
132;2010;50.4
132;2011;49.6
132;2012;49.8
132;2013;49.5
132;2014;49.7
132;2015;49.9
141;2000;47.7
141;2001;47.0
141;2002;47.0
141;2003;47.3
141;2004;47.6
141;2005;47.9
141;2006;48.3
141;2007;48.0
141;2008;48.3
141;2009;47.6
141;2010;47.3
141;2011;47.6
141;2012;48.0
141;2013;47.2
141;2014;47.4
141;2015;47.6
142;2000;44.4
142;2001;44.6
142;2002;45.1
142;2003;45.2
142;2004;44.9
142;2005;45.1
142;2006;44.9
142;2007;45.1
142;2008;45.4
142;2009;45.4
142;2010;45.7
142;2011;45.9
142;2012;46.0
142;2013;46.1
142;2014;46.1
142;2015;46.0
151;2000;46.3
151;2001;46.2
151;2002;47.2
151;2003;47.3
151;2004;47.4
151;2005;47.0
151;2006;47.4
151;2007;47.5
151;2008;47.0
151;2009;46.9
151;2010;47.0
151;2011;46.7
151;2012;47.4
151;2013;47.7
151;2014;47.9
151;2015;47.6
152;2000;44.0
152;2001;43.5
152;2002;44.2
152;2003;44.4
152;2004;44.7
152;2005;44.8
152;2006;44.7
152;2007;45.2
152;2008;45.2
152;2009;45.2
152;2010;45.4
152;2011;45.4
152;2012;45.6
152;2013;45.2
152;2014;45.6
152;2015;45.9
153;2000;44.7
153;2001;44.6
153;2002;44.9
153;2003;45.0
153;2004;44.9
153;2005;45.0
153;2006;45.4
153;2007;45.7
153;2008;46.0
153;2009;46.1
153;2010;46.0
153;2011;46.2
153;2012;46.1
153;2013;46.4
153;2014;46.5
153;2015;46.4
161;2000;51.0
161;2001;51.0
161;2002;51.2
161;2003;51.3
161;2004;51.8
161;2005;52.0
161;2006;52.2
161;2007;51.7
161;2008;52.0
161;2009;52.3
161;2010;52.2
161;2011;52.5
161;2012;51.7
161;2013;51.7
161;2014;52.5
161;2015;52.7
162;2000;57.7
162;2001;55.0
162;2002;56.6
162;2003;54.1
162;2004;55.2
162;2005;51.7
162;2006;52.0
162;2007;51.0
162;2008;54.1
162;2009;52.1
162;2010;50.6
162;2011;52.5
162;2012;53.1
162;2013;54.6
162;2014;55.3
162;2015;51.9
171;2000;50.8
171;2001;50.7
171;2002;50.7
171;2003;51.0
171;2004;51.4
171;2005;50.9
171;2006;51.4
171;2007;51.8
171;2008;51.6
171;2009;51.3
171;2010;51.2
171;2011;52.4
171;2012;52.5
171;2013;52.3
171;2014;52.3
171;2015;51.3
172;2000;49.4
172;2001;48.7
172;2002;48.6
172;2003;49.3
172;2004;49.2
172;2005;49.0
172;2006;48.7
172;2007;48.8
172;2008;48.9
172;2009;49.6
172;2010;49.3
172;2011;49.7
172;2012;49.8
172;2013;50.0
172;2014;49.9
172;2015;50.1
173;2000;54.2
173;2001;54.3
173;2002;54.7
173;2003;53.5
173;2004;53.7
173;2005;53.7
173;2006;54.4
173;2007;53.6
173;2008;53.4
173;2009;53.6
173;2010;53.0
173;2011;52.5
173;2012;51.5
173;2013;51.8
173;2014;52.6
173;2015;52.6
174;2000;51.1
174;2001;51.2
174;2002;51.6
174;2003;51.7
174;2004;51.7
174;2005;51.9
174;2006;51.4
174;2007;51.7
174;2008;52.0
174;2009;52.8
174;2010;52.4
174;2011;52.0
174;2012;51.8
174;2013;52.5
174;2014;52.6
174;2015;52.5
180;2000;51.0
180;2001;51.0
180;2002;50.8
180;2003;50.9
180;2004;50.7
180;2005;51.2
180;2006;50.9
180;2007;51.3
180;2008;50.8
180;2009;51.1
180;2010;51.2
180;2011;51.3
180;2012;51.0
180;2013;50.8
180;2014;51.1
180;2015;51.2
190;2000;48.3
190;2001;48.6
190;2002;49.1
190;2003;49.1
190;2004;48.8
190;2005;49.7
190;2006;50.0
190;2007;49.9
190;2008;50.1
190;2009;50.5
190;2010;50.3
190;2011;50.6
190;2012;51.0
190;2013;50.8
190;2014;50.3
190;2015;50.6
201;2000;43.0
201;2001;43.0
201;2002;43.1
201;2003;43.5
201;2004;43.2
201;2005;43.3
201;2006;43.3
201;2007;43.7
201;2008;43.9
201;2009;43.8
201;2010;44.5
201;2011;44.6
201;2012;44.3
201;2013;44.5
201;2014;44.0
201;2015;44.1
202;2000;48.9
202;2001;49.0
202;2002;49.0
202;2003;48.9
202;2004;48.7
202;2005;48.2
202;2006;48.8
202;2007;49.4
202;2008;48.9
202;2009;48.9
202;2010;48.5
202;2011;47.5
202;2012;48.2
202;2013;48.3
202;2014;48.4
202;2015;48.0
203;2000;44.0
203;2001;44.4
203;2002;45.5
203;2003;46.2
203;2004;45.9
203;2005;45.5
203;2006;46.0
203;2007;45.8
203;2008;46.1
203;2009;45.8
203;2010;46.5
203;2011;45.7
203;2012;46.4
203;2013;46.4
203;2014;46.4
203;2015;46.6
204;2000;46.1
204;2001;46.5
204;2002;46.7
204;2003;47.3
204;2004;46.6
204;2005;46.4
204;2006;45.7
204;2007;45.4
204;2008;45.7
204;2009;45.7
204;2010;45.6
204;2011;46.5
204;2012;46.1
204;2013;46.4
204;2014;45.1
204;2015;44.9
205;2000;48.1
205;2001;48.3
205;2002;48.4
205;2003;48.5
205;2004;48.1
205;2005;48.0
205;2006;48.5
205;2007;48.6
205;2008;48.4
205;2009;47.6
205;2010;48.5
205;2011;48.1
205;2012;48.5
205;2013;48.1
205;2014;48.2
205;2015;48.3
206;2000;47.6
206;2001;47.4
206;2002;47.6
206;2003;46.8
206;2004;47.1
206;2005;47.3
206;2006;46.8
206;2007;47.1
206;2008;47.4
206;2009;47.7
206;2010;47.1
206;2011;47.0
206;2012;46.7
206;2013;47.0
206;2014;47.0
206;2015;46.8
207;2000;47.1
207;2001;47.2
207;2002;47.1
207;2003;46.9
207;2004;46.7
207;2005;46.7
207;2006;46.7
207;2007;46.9
207;2008;46.5
207;2009;46.5
207;2010;46.5
207;2011;46.5
207;2012;46.9
207;2013;47.0
207;2014;46.8
207;2015;46.9
208;2000;47.4
208;2001;46.8
208;2002;47.3
208;2003;47.7
208;2004;47.3
208;2005;47.5
208;2006;47.3
208;2007;47.7
208;2008;47.0
208;2009;47.0
208;2010;47.7
208;2011;47.9
208;2012;48.2
208;2013;47.2
208;2014;47.5
208;2015;48.6
301;2000;49.7
301;2001;49.2
301;2002;48.6
301;2003;48.7
301;2004;49.1
301;2005;48.7
301;2006;49.1
301;2007;49.2
301;2008;49.8
301;2009;49.2
301;2010;49.7
301;2011;49.0
301;2012;49.1
301;2013;49.6
301;2014;50.5
301;2015;50.7
302;2000;40.7
302;2001;39.4
302;2002;35.3
302;2003;37.0
302;2004;38.7
302;2005;39.2
302;2006;41.1
302;2007;39.1
302;2008;40.6
302;2009;39.8
302;2010;41.3
302;2011;43.2
302;2012;43.1
302;2013;41.8
302;2014;40.6
302;2015;43.1
