wbe;jahr;ant_eingetragen
171;2006;0.0
171;2007;0.2
171;2008;0.3
171;2009;0.2
171;2010;0.2
171;2011;0.2
171;2012;0.3
171;2013;0.3
171;2014;0.3
171;2015;0.4
172;2000;0.0
172;2001;0.0
172;2002;0.0
172;2003;0.0
172;2004;0.0
172;2005;0.0
172;2006;0.0
172;2007;0.1
172;2008;0.1
172;2009;0.1
172;2010;0.3
172;2011;0.3
172;2012;0.3
172;2013;0.3
172;2014;0.3
172;2015;0.3
173;2000;0.0
173;2001;0.0
173;2002;0.0
173;2003;0.0
173;2004;0.0
173;2005;0.0
173;2006;0.0
173;2007;0.1
173;2008;0.1
173;2009;0.1
173;2010;0.1
173;2011;0.1
173;2012;0.1
173;2013;0.3
173;2014;0.3
173;2015;0.5
174;2000;0.0
174;2001;0.0
174;2002;0.0
174;2003;0.0
174;2004;0.0
174;2005;0.0
174;2006;0.0
174;2007;0.1
174;2008;0.1
174;2009;0.1
174;2010;0.2
174;2011;0.2
174;2012;0.2
174;2013;0.2
174;2014;0.2
174;2015;0.2
180;2000;0.0
180;2001;0.0
180;2002;0.0
180;2003;0.0
180;2004;0.0
180;2005;0.0
180;2006;0.0
180;2007;0.1
180;2008;0.1
180;2009;0.1
180;2010;0.2
180;2011;0.1
180;2012;0.1
180;2013;0.2
180;2014;0.2
180;2015;0.2
190;2003;0.0
190;2004;0.0
190;2000;0.0
190;2001;0.0
190;2002;0.0
190;2005;0.0
190;2006;0.0
190;2007;0.0
190;2008;0.0
190;2009;0.0
190;2010;0.1
190;2011;0.1
190;2012;0.1
190;2013;0.2
190;2014;0.4
190;2015;0.4
201;2000;0.0
201;2001;0.0
201;2002;0.0
201;2003;0.0
201;2004;0.0
201;2005;0.0
201;2006;0.0
201;2007;0.1
201;2008;0.1
201;2009;0.1
201;2010;0.1
201;2011;0.1
201;2012;0.1
201;2013;0.2
201;2014;0.2
201;2015;0.1
202;2000;0.0
202;2001;0.0
202;2002;0.0
202;2003;0.0
202;2004;0.0
202;2005;0.0
202;2006;0.0
202;2007;0.1
202;2008;0.2
202;2009;0.3
202;2010;0.3
202;2011;0.4
202;2012;0.4
202;2013;0.4
202;2014;0.5
202;2015;0.5
203;2000;0.0
203;2001;0.0
203;2002;0.0
203;2003;0.0
203;2004;0.0
203;2005;0.0
203;2006;0.0
203;2007;0.0
203;2008;0.0
203;2009;0.2
203;2010;0.2
203;2011;0.2
203;2012;0.0
203;2013;0.0
203;2014;0.0
203;2015;0.2
204;2000;0.0
204;2001;0.0
204;2002;0.0
204;2003;0.0
204;2004;0.0
204;2005;0.0
204;2006;0.0
204;2007;0.2
204;2008;0.2
204;2009;0.2
204;2010;0.2
204;2011;0.3
204;2012;0.4
204;2013;0.4
204;2014;0.4
204;2015;0.4
205;2000;0.0
205;2001;0.0
205;2002;0.0
205;2003;0.0
205;2004;0.0
205;2005;0.0
205;2006;0.0
205;2007;0.1
205;2008;0.1
205;2009;0.2
205;2010;0.2
205;2011;0.2
205;2012;0.3
205;2013;0.3
205;2014;0.2
205;2015;0.2
206;2000;0.0
206;2001;0.0
206;2002;0.0
206;2003;0.0
206;2004;0.0
206;2005;0.0
206;2006;0.0
