wbe;jahr;gesbev
201;2009;3369
201;2010;3406
201;2011;3415
201;2012;3415
201;2013;3367
201;2014;3346
201;2015;3353
202;2000;2250
202;2001;2312
202;2002;2273
202;2003;2282
202;2004;2263
202;2005;2286
202;2006;2324
202;2007;2304
202;2008;2261
202;2009;2301
202;2010;2306
202;2011;2296
202;2012;2278
202;2013;2290
202;2014;2344
202;2015;2346
203;2000;1233
203;2001;1195
203;2002;1161
203;2003;1156
203;2004;1169
203;2005;1147
203;2006;1191
203;2007;1208
203;2008;1205
203;2009;1208
203;2010;1249
203;2011;1248
203;2012;1303
203;2013;1306
203;2014;1292
203;2015;1288
204;2000;1023
204;2001;1042
204;2002;1038
204;2003;1031
204;2004;1009
204;2005;966
204;2006;952
204;2007;976
204;2008;970
204;2009;970
204;2010;988
204;2011;1006
204;2012;1007
204;2013;1005
204;2014;1004
204;2015;968
205;2000;2069
205;2001;2092
205;2002;2114
205;2003;2087
205;2004;2058
205;2005;2058
205;2006;2071
205;2007;2049
205;2008;2049
205;2009;2060
205;2010;2136
205;2011;2122
205;2012;2112
205;2013;2142
205;2014;2100
205;2015;2073
206;2000;2330
206;2001;2315
206;2002;2361
206;2003;2321
206;2004;2345
206;2005;2303
206;2006;2280
206;2007;2286
206;2008;2310
206;2009;2327
206;2010;2340
206;2011;2361
206;2012;2342
206;2013;2379
206;2014;2411
206;2015;2371
207;2000;6266
207;2001;6289
207;2002;6216
207;2003;6232
207;2004;6248
207;2005;6227
207;2006;6252
207;2007;6290
207;2008;6219
207;2009;6120
207;2010;6180
207;2011;6138
207;2012;6197
207;2013;6304
207;2014;6296
207;2015;6290
208;2000;2106
208;2001;2105
208;2002;2125
208;2003;2144
208;2004;2147
208;2005;2164
208;2006;2157
208;2007;2134
208;2008;2201
208;2009;2161
208;2010;2151
208;2011;2144
208;2012;2178
208;2013;2146
208;2014;2154
208;2015;2180
301;2000;929
301;2001;910
301;2002;921
301;2003;930
301;2004;941
301;2005;928
301;2006;941
301;2007;926
301;2008;936
301;2009;944
301;2010;942
301;2011;953
301;2012;967
301;2013;965
301;2014;999
301;2015;972
302;2000;258
302;2001;251
302;2002;252
302;2003;273
302;2004;261
302;2005;268
302;2006;263
302;2007;253
302;2008;239
302;2009;251
302;2010;225
302;2011;229
302;2012;232
302;2013;225
302;2014;239
302;2015;232
