wbe;jahr;evangelischreformiert
207;2001;31.3
207;2002;30.8
207;2003;30.0
207;2004;28.5
207;2005;27.7
207;2006;26.8
207;2007;26.6
207;2008;26.4
207;2009;25.2
207;2010;24.2
207;2011;23.4
207;2012;22.8
207;2013;22.0
207;2014;21.3
207;2015;20.7
208;2000;33.9
208;2001;33.9
208;2002;32.7
208;2003;31.6
208;2004;31.0
208;2005;30.0
208;2006;28.7
208;2007;27.6
208;2008;26.2
208;2009;24.7
208;2010;23.6
208;2011;23.4
208;2012;22.4
208;2013;22.1
208;2014;20.8
208;2015;20.3
301;2000;40.6
301;2001;37.7
301;2002;36.6
301;2003;33.9
301;2004;33.9
301;2005;33.3
301;2006;31.8
301;2007;30.5
301;2008;27.8
301;2009;27.6
301;2010;26.4
301;2011;26.0
301;2012;25.7
301;2013;26.2
301;2014;24.9
301;2015;24.2
302;2000;69.0
302;2001;63.3
302;2002;59.5
302;2003;58.2
302;2004;59.0
302;2005;61.9
302;2006;60.8
302;2007;56.1
302;2008;49.4
302;2009;45.4
302;2010;49.3
302;2011;46.7
302;2012;47.0
302;2013;44.9
302;2014;43.9
302;2015;42.7
