wbe;jahr;anteil_ch
153;2006;82.4
153;2007;82.0
153;2008;81.2
153;2009;80.9
153;2010;81.8
153;2011;81.5
153;2012;81.0
153;2013;80.6
153;2014;80.2
153;2015;80.4
161;2000;50.4
161;2001;50.9
161;2002;48.5
161;2003;49.4
161;2004;48.7
161;2005;48.4
161;2006;47.5
161;2007;47.6
161;2008;46.3
161;2009;46.9
161;2010;46.9
161;2011;46.0
161;2012;47.3
161;2013;47.0
161;2014;47.0
161;2015;46.6
162;2000;48.5
162;2001;38.0
162;2002;38.2
162;2003;38.5
162;2004;34.3
162;2005;32.4
162;2006;40.5
162;2007;46.5
162;2008;48.8
162;2009;45.1
162;2010;40.7
162;2011;37.8
162;2012;31.5
162;2013;31.7
162;2014;34.5
162;2015;40.1
171;2000;69.1
171;2001;67.3
171;2002;66.6
171;2003;65.9
171;2004;64.3
171;2005;63.0
171;2006;62.3
171;2007;61.8
171;2008;60.0
171;2009;59.1
171;2010;58.5
171;2011;57.4
171;2012;58.0
171;2013;57.6
171;2014;56.6
171;2015;58.2
172;2000;58.5
172;2001;60.2
172;2002;58.6
172;2003;58.2
172;2004;57.9
172;2005;58.3
172;2006;58.2
172;2007;57.9
172;2008;57.6
172;2009;56.5
172;2010;56.4
172;2011;55.4
172;2012;53.6
172;2013;53.9
172;2014;53.8
172;2015;54.0
173;2000;48.1
173;2001;48.6
173;2002;48.7
173;2003;48.6
173;2004;48.0
173;2005;48.8
173;2006;47.1
173;2007;48.4
173;2008;47.8
173;2009;47.9
173;2010;48.2
173;2011;46.8
173;2012;47.3
173;2013;47.6
173;2014;47.4
173;2015;48.2
174;2000;45.1
174;2001;44.7
174;2002;43.4
174;2003;43.8
174;2004;44.4
174;2005;44.6
174;2006;44.2
174;2007;45.1
174;2008;45.1
174;2009;45.1
174;2010;45.4
174;2011;45.2
174;2012;45.9
174;2013;45.3
174;2014;44.8
174;2015;45.5
180;2000;50.9
180;2001;51.3
180;2002;50.5
180;2003;49.8
180;2004;50.0
180;2005;49.3
180;2006;49.4
180;2007;50.9
180;2008;51.9
180;2009;51.0
180;2010;51.3
180;2011;50.0
180;2012;49.0
180;2013;49.3
180;2014;48.5
180;2015;48.2
190;2000;60.1
190;2001;59.2
190;2002;56.4
190;2003;56.2
190;2004;56.7
190;2005;54.8
190;2006;53.9
190;2007;56.3
190;2008;57.3
190;2009;54.7
190;2010;56.3
190;2011;55.3
190;2012;54.5
190;2013;54.3
190;2014;54.3
190;2015;53.6
201;2000;84.8
201;2001;83.8
201;2002;83.9
201;2003;82.9
201;2004;82.1
201;2005;81.4
201;2006;80.6
201;2007;79.3
201;2008;78.5
201;2009;77.6
201;2010;75.7
201;2011;75.3
201;2012;75.8
201;2013;75.8
201;2014;75.4
201;2015;75.2
202;2000;82.0
202;2001;79.6
202;2002;78.0
202;2003;77.9
202;2004;77.2
202;2005;75.8
202;2006;74.5
202;2007;74.1
202;2008;74.3
202;2009;73.7
202;2010;73.2
202;2011;72.3
202;2012;71.9
202;2013;69.5
202;2014;68.3
202;2015;67.6
203;2000;89.1
203;2001;88.7
203;2002;85.9
203;2003;85.3
203;2004;84.4
203;2005;83.7
203;2006;83.0
203;2007;81.0
203;2008;80.3
203;2009;79.0
203;2010;77.8
203;2011;77.0
203;2012;74.0
203;2013;74.0
203;2014;72.9
203;2015;71.4
204;2000;88.5
204;2001;85.3
204;2002;84.3
204;2003;85.5
204;2004;86.0
204;2005;86.4
204;2006;86.4
204;2007;85.5
204;2008;85.2
204;2009;86.2
204;2010;84.3
204;2011;83.3
204;2012;81.6
204;2013;81.0
204;2014;81.1
204;2015;80.2
205;2000;85.9
205;2001;84.5
205;2002;83.4
205;2003;83.5
205;2004;82.9
205;2005;84.0
205;2006;83.0
205;2007;82.5
205;2008;81.8
205;2009;81.4
205;2010;78.0
205;2011;77.9
205;2012;78.0
205;2013;77.9
205;2014;77.8
205;2015;76.2
206;2000;92.9
206;2001;91.7
206;2002;90.7
206;2003;90.0
206;2004;89.6
206;2005;88.6
206;2006;88.5
206;2007;87.5
206;2008;86.6
206;2009;85.8
206;2010;84.9
206;2011;83.8
206;2012;83.1
206;2013;81.1
206;2014;80.6
206;2015;79.5
207;2000;88.3
207;2001;87.7
207;2002;87.8
207;2003;87.0
207;2004;86.0
207;2005;86.1
207;2006;85.1
207;2007;84.7
207;2008;84.8
207;2009;83.9
207;2010;82.9
207;2011;81.5
207;2012;81.1
207;2013;79.6
207;2014;78.2
207;2015;78.4
208;2000;83.4
208;2001;84.3
208;2002;83.6
208;2003;81.7
208;2004;81.5
208;2005;80.8
208;2006;80.2
208;2007;79.5
208;2008;77.0
208;2009;76.4
208;2010;75.4
208;2011;74.3
208;2012;73.4
208;2013;73.0
208;2014;70.8
208;2015;71.1
301;2000;87.5
301;2001;86.0
301;2002;85.5
301;2003;84.6
301;2004;83.8
301;2005;83.1
301;2006;81.8
301;2007;81.1
301;2008;79.6
301;2009;79.2
301;2010;78.7
301;2011;78.4
301;2012;78.7
301;2013;78.5
301;2014;76.0
301;2015;77.4
302;2000;69.0
302;2001;66.9
302;2002;65.9
302;2003;68.5
302;2004;67.8
302;2005;65.3
302;2006;63.1
302;2007;63.6
302;2008;60.7
302;2009;52.2
302;2010;50.7
302;2011;57.6
302;2012;59.5
302;2013;60.4
302;2014;56.9
302;2015;64.2
