wbe;jahr;ant_verwitwet
180;2011;4.5
180;2012;4.4
180;2013;4.6
180;2014;4.4
180;2015;4.4
190;2003;7.4
190;2004;7.7
190;2000;8.3
190;2001;7.9
190;2002;7.9
190;2005;7.3
190;2006;7.5
190;2007;7.6
190;2008;7.1
190;2009;6.6
190;2010;6.3
190;2011;5.9
190;2012;5.6
190;2013;5.5
190;2014;5.5
190;2015;5.2
201;2000;9.1
201;2001;8.8
201;2002;8.7
201;2003;8.6
201;2004;9.0
201;2005;8.5
201;2006;8.2
201;2007;8.4
201;2008;9.0
201;2009;8.8
201;2010;8.8
201;2011;9.0
201;2012;9.0
201;2013;9.1
201;2014;9.1
201;2015;9.7
202;2000;5.3
202;2001;5.2
202;2002;5.0
202;2003;4.9
202;2004;5.3
202;2005;5.2
202;2006;5.1
202;2007;5.0
202;2008;5.1
202;2009;5.0
202;2010;4.8
202;2011;5.0
202;2012;5.0
202;2013;5.1
202;2014;5.0
202;2015;4.8
203;2000;13.7
203;2001;13.0
203;2002;10.9
203;2003;11.0
203;2004;11.1
203;2005;11.2
203;2006;11.3
203;2007;10.8
203;2008;10.3
203;2009;10.0
203;2010;9.8
203;2011;9.6
203;2012;9.1
203;2013;9.3
203;2014;9.5
203;2015;9.0
204;2000;7.8
204;2001;7.6
204;2002;7.6
204;2003;8.9
204;2004;9.1
204;2005;9.7
204;2006;9.8
204;2007;9.7
204;2008;9.7
204;2009;10.0
204;2010;10.1
204;2011;10.3
204;2012;9.6
204;2013;10.0
204;2014;10.0
204;2015;9.9
205;2000;6.6
205;2001;6.6
205;2002;6.8
205;2003;7.4
205;2004;7.5
205;2005;7.5
205;2006;7.3
205;2007;7.1
205;2008;7.2
205;2009;6.7
205;2010;6.7
205;2011;6.5
205;2012;6.2
205;2013;6.1
205;2014;6.3
205;2015;6.4
206;2000;7.8
206;2001;7.6
206;2002;7.8
206;2003;7.8
206;2004;7.9
206;2005;8.3
206;2006;8.3
206;2007;7.7
206;2008;7.5
206;2009;7.3
206;2010;7.3
206;2011;7.3
206;2012;7.0
206;2013;6.9
206;2014;6.5
206;2015;6.6
207;2000;8.4
207;2001;8.2
207;2002;8.2
207;2003;8.2
207;2004;8.0
207;2005;8.1
207;2007;7.9
207;2008;8.0
207;2009;7.7
207;2010;7.5
207;2011;7.5
207;2012;7.5
207;2013;7.4
207;2014;7.3
207;2015;7.2
207;2006;8.0
208;2000;6.5
208;2001;6.5
208;2002;6.5
208;2003;6.7
208;2004;6.6
208;2005;6.7
208;2006;6.8
208;2007;6.7
208;2008;6.6
208;2009;6.8
208;2010;7.0
208;2011;7.1
208;2012;6.8
208;2013;6.9
208;2014;6.7
208;2015;6.6
301;2000;6.2
301;2001;6.2
301;2002;6.2
301;2003;6.0
301;2004;6.3
301;2005;5.7
301;2006;5.8
301;2007;5.7
301;2008;5.9
301;2009;5.6
301;2010;5.8
301;2011;5.9
301;2012;5.4
301;2013;5.6
301;2014;5.5
301;2015;5.3
302;2004;5.0
302;2005;5.2
302;2007;6.3
302;2008;6.3
302;2009;6.0
302;2010;7.1
302;2012;5.6
302;2013;6.2
302;2014;5.9
302;2015;3.9
302;2000;1.6
302;2001;1.2
302;2002;4.8
302;2003;4.4
302;2006;5.3
302;2011;5.7
