wbe;jahr;anzahl_g
207;2001;383
207;2002;379
207;2003;387
207;2004;394
207;2005;435
207;2007;488
207;2008;506
207;2009;494
207;2010;529
207;2011;548
207;2012;565
207;2013;563
207;2014;563
207;2015;576
207;2006;469
208;2000;113
208;2001;111
208;2002;122
208;2003;128
208;2004;126
208;2005;130
208;2006;134
208;2007;131
208;2008;157
208;2009;150
208;2010;146
208;2011;143
208;2012;149
208;2013;151
208;2014;145
208;2015;157
301;2000;49
301;2001;50
301;2002;47
301;2003;53
301;2004;53
301;2005;61
301;2006;63
301;2007;60
301;2008;63
301;2009;66
301;2010;64
301;2011;69
301;2012;68
301;2013;72
301;2014;79
301;2015;79
302;2004;2
302;2005;3
302;2007;3
302;2008;4
302;2009;3
302;2010;3
302;2012;5
302;2013;6
302;2014;9
302;2015;10
302;2000;2
302;2001;1
302;2002;5
302;2003;3
302;2006;2
302;2011;3
