wbe;jahr;anzahl_christkatholische
171;2008;4
171;2009;NaN
171;2010;NaN
171;2011;NaN
171;2012;7
171;2013;8
171;2014;8
171;2015;8
172;2000;7
172;2001;NaN
172;2002;NaN
172;2003;NaN
172;2004;NaN
172;2005;NaN
172;2006;5
172;2007;5
172;2008;6
172;2009;7
172;2010;7
172;2011;19
172;2012;28
172;2013;18
172;2014;22
172;2015;27
173;2000;NaN
173;2001;NaN
173;2002;NaN
173;2003;NaN
173;2004;NaN
173;2005;NaN
173;2006;7
173;2007;8
173;2008;13
173;2009;9
173;2010;10
173;2011;17
173;2012;27
173;2013;26
173;2014;18
173;2015;19
174;2000;7
174;2001;14
174;2002;9
174;2003;8
174;2004;9
174;2005;11
174;2006;11
174;2007;8
174;2008;10
174;2009;12
174;2010;17
174;2011;32
174;2012;46
174;2013;43
174;2014;34
174;2015;21
180;2000;9
180;2001;9
180;2002;7
180;2003;6
180;2004;8
180;2005;10
180;2006;10
180;2007;10
180;2008;13
180;2009;18
180;2010;19
180;2011;35
180;2012;49
180;2013;30
180;2014;31
180;2015;30
190;2000;11
190;2001;9
190;2002;8
190;2003;7
190;2004;6
190;2005;5
190;2006;4
190;2007;4
190;2008;4
190;2009;4
190;2010;NaN
190;2011;7
190;2012;11
190;2013;11
190;2014;10
190;2015;4
201;2000;10
201;2001;9
201;2002;9
201;2003;9
201;2004;9
201;2005;10
201;2006;11
201;2007;11
201;2008;10
201;2009;10
201;2010;16
201;2011;15
201;2012;21
201;2013;14
201;2014;13
201;2015;10
202;2000;NaN
202;2001;NaN
202;2002;4
202;2003;5
202;2004;4
202;2005;4
202;2006;NaN
202;2007;NaN
202;2008;NaN
202;2009;NaN
202;2010;5
202;2011;6
202;2012;5
202;2013;NaN
202;2014;NaN
202;2015;4
203;2000;NaN
203;2001;NaN
203;2002;NaN
203;2003;NaN
203;2004;NaN
203;2005;NaN
203;2006;NaN
203;2007;NaN
203;2008;NaN
203;2009;NaN
203;2010;NaN
203;2011;NaN
203;2012;NaN
203;2013;NaN
203;2014;NaN
203;2015;NaN
204;2000;NaN
204;2001;NaN
204;2002;NaN
204;2003;NaN
204;2004;NaN
204;2005;NaN
204;2006;NaN
204;2007;NaN
204;2008;NaN
204;2009;NaN
204;2010;NaN
204;2011;NaN
204;2012;NaN
204;2013;NaN
204;2014;5
204;2015;NaN
205;2000;5
205;2001;NaN
205;2002;6
205;2003;5
205;2004;4
205;2005;NaN
205;2006;NaN
205;2007;NaN
205;2008;NaN
205;2009;NaN
205;2010;NaN
205;2011;4
205;2012;4
205;2013;4
205;2014;4
205;2015;NaN
206;2000;7
206;2001;5
206;2002;NaN
206;2003;NaN
206;2004;NaN
206;2005;NaN
206;2006;NaN
206;2007;NaN
206;2008;NaN
206;2009;NaN
206;2010;NaN
206;2011;8
206;2012;7
206;2013;6
206;2014;6
206;2015;8
207;2000;26
207;2001;25
207;2002;23
207;2003;20
207;2004;18
207;2005;17
207;2006;15
207;2007;17
207;2008;16
207;2009;10
207;2010;8
207;2011;13
207;2012;19
207;2013;16
207;2014;14
207;2015;15
208;2000;5
208;2001;5
208;2002;5
208;2003;5
208;2004;5
208;2005;5
208;2006;5
208;2007;6
208;2008;6
208;2009;5
208;2010;6
208;2011;6
208;2012;6
208;2013;7
208;2014;7
208;2015;7
301;2000;4
301;2001;4
301;2002;4
301;2003;4
301;2004;NaN
301;2005;4
301;2006;NaN
301;2007;NaN
301;2008;NaN
301;2009;NaN
301;2010;NaN
301;2011;NaN
301;2012;NaN
301;2013;NaN
301;2014;4
301;2015;NaN
302;2000;NaN
302;2001;NaN
302;2002;NaN
302;2003;NaN
302;2004;NaN
302;2005;NaN
302;2006;NaN
302;2007;NaN
302;2008;NaN
302;2009;NaN
302;2010;NaN
302;2011;NaN
302;2012;NaN
302;2013;NaN
302;2014;NaN
302;2015;NaN
