wbe;jahr;ant_ledig
132;2011;44.5
132;2012;43.9
132;2013;44.2
132;2014;45.0
132;2015;44.8
141;2000;48.4
141;2001;48.4
141;2002;49.5
141;2003;49.8
141;2004;49.6
141;2005;50.3
141;2006;52.5
141;2007;53.7
141;2008;54.0
141;2009;54.4
141;2010;53.9
141;2011;53.4
141;2012;53.2
141;2013;53.6
141;2014;52.8
141;2015;53.0
142;2000;35.3
142;2001;36.2
142;2002;37.8
142;2003;38.4
142;2004;39.6
142;2005;40.9
142;2006;42.3
142;2007;42.2
142;2008;43.7
142;2009;44.8
142;2010;44.8
142;2011;45.9
142;2012;45.6
142;2013;46.9
142;2014;47.7
142;2015;47.7
151;2000;35.6
151;2001;35.8
151;2002;36.9
151;2003;37.3
151;2004;36.3
151;2005;36.7
151;2006;37.5
151;2007;37.8
151;2008;38.4
151;2009;39.2
151;2010;40.1
151;2011;41.2
151;2012;41.7
151;2013;42.1
151;2014;42.6
151;2015;43.4
152;2000;37.4
152;2001;36.7
152;2002;37.0
152;2003;36.9
152;2004;37.2
152;2005;37.2
152;2006;37.2
152;2007;37.4
152;2008;37.5
152;2009;37.5
152;2010;37.9
152;2011;38.3
152;2012;38.6
152;2013;39.0
152;2014;39.9
152;2015;40.3
153;2000;32.2
153;2001;32.7
153;2002;32.2
153;2003;32.7
153;2004;32.7
153;2005;32.5
153;2006;33.0
153;2007;33.0
153;2008;35.3
153;2009;36.2
153;2010;37.1
153;2011;37.4
153;2012;38.0
153;2013;39.2
153;2014;39.2
153;2015;40.2
161;2000;42.9
161;2001;44.0
161;2002;44.3
161;2003;45.1
161;2004;45.8
161;2005;45.8
161;2006;46.9
161;2007;47.2
161;2008;47.3
161;2009;48.3
161;2010;48.4
161;2011;48.4
161;2012;49.0
161;2013;49.7
161;2014;51.5
161;2015;52.4
162;2000;49.5
162;2001;53.5
162;2002;56.6
162;2003;57.4
162;2004;51.5
162;2005;47.6
162;2006;50.0
162;2007;53.5
162;2008;54.7
162;2009;58.4
162;2010;55.3
162;2011;55.6
162;2012;52.8
162;2013;52.2
162;2014;53.9
162;2015;55.1
171;2000;46.2
171;2001;46.4
171;2002;47.7
171;2003;48.9
171;2004;50.2
171;2005;49.4
171;2006;50.0
171;2007;50.1
171;2008;49.4
171;2009;51.4
171;2010;50.7
171;2011;51.5
171;2012;52.1
171;2013;53.0
171;2014;54.2
171;2015;55.1
172;2000;46.4
172;2001;46.8
172;2002;47.5
172;2003;48.4
172;2004;49.4
172;2005;49.8
172;2006;50.0
172;2007;51.0
172;2008;51.3
172;2009;51.8
172;2010;51.3
172;2011;52.2
172;2012;52.4
172;2013;52.5
172;2014;53.1
172;2015;54.0
173;2000;48.0
