wbe;jahr;anzahl_al
207;2008;947
207;2009;986
207;2010;1056
207;2011;1134
207;2012;1172
207;2013;1289
207;2014;1371
207;2015;1361
208;2000;350
208;2001;330
208;2002;349
208;2003;392
208;2004;397
208;2005;416
208;2006;427
208;2007;437
208;2008;506
208;2009;510
208;2010;529
208;2011;550
208;2012;580
208;2013;579
208;2014;630
208;2015;630
301;2000;116
301;2001;127
301;2002;134
301;2003;143
301;2004;152
301;2005;157
301;2006;171
301;2007;175
301;2008;191
301;2009;196
301;2010;201
301;2011;206
301;2012;206
301;2013;207
301;2014;240
301;2015;220
302;2000;80
302;2001;83
302;2002;86
302;2003;86
302;2004;84
302;2005;93
302;2006;97
302;2007;92
302;2008;94
302;2009;120
302;2010;111
302;2011;97
302;2012;94
302;2013;89
302;2014;103
302;2015;83
