wbe;jahr;sess10
203;2002;601
203;2003;570
203;2004;557
203;2005;550
203;2006;541
203;2007;538
203;2008;533
203;2009;542
203;2010;544
203;2011;529
203;2012;535
203;2013;540
203;2014;550
203;2015;539
204;2000;515
204;2001;519
204;2002;515
204;2003;501
204;2004;507
204;2005;494
204;2006;485
204;2007;508
204;2008;516
204;2009;521
204;2010;517
204;2011;515
204;2012;542
204;2013;532
204;2014;515
204;2015;507
205;2000;1122
205;2001;1111
205;2002;1119
205;2003;1105
205;2004;1111
205;2005;1115
205;2006;1134
205;2007;1111
205;2008;1103
205;2009;1082
205;2010;1084
205;2011;1071
205;2012;1071
205;2013;1067
205;2014;1035
205;2015;1022
206;2000;1112
206;2001;1117
206;2002;1091
206;2003;1066
206;2004;1114
206;2005;1088
206;2006;1068
206;2007;1048
206;2008;1055
206;2009;1025
206;2010;1058
206;2011;1037
206;2012;1039
206;2013;1023
206;2014;1053
206;2015;1043
207;2000;2960
207;2001;2842
207;2002;2770
207;2003;2722
207;2004;2744
207;2005;2751
207;2006;2722
207;2007;2699
207;2008;2707
207;2009;2693
207;2010;2668
207;2011;2729
207;2012;2710
207;2013;2755
207;2014;2737
207;2015;2752
208;2000;830
208;2001;797
208;2002;788
208;2003;781
208;2004;805
208;2005;830
208;2006;849
208;2007;842
208;2008;876
208;2009;871
208;2010;896
208;2011;902
208;2012;918
208;2013;920
208;2014;916
208;2015;948
301;2000;454
301;2001;446
301;2002;445
301;2003;427
301;2004;438
301;2005;438
301;2006;429
301;2007;427
301;2008;416
301;2009;428
301;2010;451
301;2011;446
301;2012;441
301;2013;457
301;2014;473
301;2015;459
302;2000;49
302;2001;65
302;2002;61
302;2003;66
302;2004;50
302;2005;53
302;2006;43
302;2007;43
302;2008;42
302;2009;41
302;2010;37
302;2011;30
302;2012;29
302;2013;35
302;2014;34
302;2015;37
