wbe;jahr;anteil_al
202;2002;22.0
202;2003;22.1
202;2004;22.8
202;2005;24.2
202;2006;25.5
202;2007;25.9
202;2008;25.7
202;2009;26.3
202;2010;26.8
202;2011;27.7
202;2012;28.1
202;2013;30.5
202;2014;31.7
202;2015;32.4
203;2000;10.9
203;2001;11.3
203;2002;14.1
203;2003;14.7
203;2004;15.6
203;2005;16.3
203;2006;17.0
203;2007;19.0
203;2008;19.7
203;2009;21.0
203;2010;22.2
203;2011;23.0
203;2012;26.0
203;2013;26.0
203;2014;27.1
203;2015;28.6
204;2000;11.5
204;2001;14.7
204;2002;15.7
204;2003;14.5
204;2004;14.0
204;2005;13.6
204;2006;13.6
204;2007;14.5
204;2008;14.8
204;2009;13.8
204;2010;15.7
204;2011;16.7
204;2012;18.4
204;2013;19.0
204;2014;18.9
204;2015;19.8
205;2000;14.1
205;2001;15.5
205;2002;16.6
205;2003;16.5
205;2004;17.1
205;2005;16.0
205;2006;17.0
205;2007;17.5
205;2008;18.2
205;2009;18.6
205;2010;22.0
205;2011;22.1
205;2012;22.0
205;2013;22.1
205;2014;22.2
205;2015;23.8
206;2000;7.1
206;2001;8.3
206;2002;9.3
206;2003;10.0
206;2004;10.4
206;2005;11.4
206;2006;11.5
206;2007;12.5
206;2008;13.4
206;2009;14.2
206;2010;15.1
206;2011;16.2
206;2012;16.9
206;2013;18.9
206;2014;19.4
206;2015;20.5
207;2000;11.7
207;2001;12.3
207;2002;12.2
207;2003;13.0
207;2004;14.0
207;2005;13.9
207;2006;14.9
207;2007;15.3
207;2008;15.2
207;2009;16.1
207;2010;17.1
207;2011;18.5
207;2012;18.9
207;2013;20.4
207;2014;21.8
207;2015;21.6
208;2000;16.6
208;2001;15.7
208;2002;16.4
208;2003;18.3
208;2004;18.5
208;2005;19.2
208;2006;19.8
208;2007;20.5
208;2008;23.0
208;2009;23.6
208;2010;24.6
208;2011;25.7
208;2012;26.6
208;2013;27.0
208;2014;29.2
208;2015;28.9
301;2000;12.5
301;2001;14.0
301;2002;14.5
301;2003;15.4
301;2004;16.2
301;2005;16.9
301;2006;18.2
301;2007;18.9
301;2008;20.4
301;2009;20.8
301;2010;21.3
301;2011;21.6
301;2012;21.3
301;2013;21.5
301;2014;24.0
301;2015;22.6
302;2000;31.0
302;2001;33.1
302;2002;34.1
302;2003;31.5
302;2004;32.2
302;2005;34.7
302;2006;36.9
302;2007;36.4
302;2008;39.3
302;2009;47.8
302;2010;49.3
302;2011;42.4
302;2012;40.5
302;2013;39.6
302;2014;43.1
302;2015;35.8
